"Manufacturer","Year","Name","IPDB","OPDB","InCatalog","Type"
"Alvin G. & Co","1991","A.G. Soccer-Ball","120","G5wxv-MQP9z","False","ss"
"Alvin G. & Co","1992","A.G. Football","2886","G5wxv-MnKkN","False","ss"
"Alvin G. & Co","1992","Al's Garage Band goes on a World Tour","3513","GRLz0-MeP4B","False","ss"
"Alvin G. & Co","1992","U.S.A. Football","2710","G5wxv-MP3k9","False","ss"
"Alvin G. & Co","1993","Pistol Poker","1805","GRLL9-MDOkz","False","ss"
"Alvin G. & Co","1993","Punchy the Clown","3508","G4x2P-MnK03","False","ss"
"Alvin G. & Co","1993","Mystery Castle","1647","G5vZZ-MQNNo","False","ss"
"American Pinball","2017","Houdini: Master of Mystery","6470","GvBQX-M0ody","True","ss"
"American Pinball","2018","Oktoberfest","6576","GLWBV-Mz2El","False","ss"
"American Pinball","2020","Hot Wheels","6661","GEL31-M61W3","False","ss"
"American Pinball","2021","Legends of Valhalla (Classic/Deluxe)","","GWyyq-MwNK5","False","ss"
"American Pinball","2023","Galactic Tank Force (Classic)","","Gj6PZ-Mb5z6","False","ss"
"American Pinball","2024","Barry O's Barbecue Challenge","","GK1Kv-ME0E0","False","ss"
"Atari","1976","Atarians","102","Gry9N-MQYVj","False","ss"
"Atari","1977","Airborne Avenger","33","G4dZZ-MKNzE","False","ss"
"Atari","1977","Time 2000","2567","G48Dx-MLleq","False","ss"
"Atari","1978","Space Riders","2258","GrdzE-MQ2E6","False","ss"
"Atari","1978","Middle Earth","1590","G4OzV-MJN4z","False","ss"
"Atari","1979","Road Runner","3517","G421X-ME0nK","False","ss"
"Atari","1979","Superman","2454","GR73N-MwN9x","False","ss"
"Atari","1979","Hercules","1155","G4NOx-MyNYZ","False","ss"
"Atari","1980","Monza","1625","G5Qx7-MLnbP","False","ss"
"Atari","1981","Neutron Star","1664","GrlQV-ML1BY","False","ss"
"Atari","1983","4X4","3111","G59VQ-MLBVl","False","ss"
"Bally","1976","Fireball (Home Model)","4116","G48ZN-MQ56q","False","ss"
"Bally","1976","Freedom","4500","GR9qY-MD3Px","False","ss"
"Bally","1976","Night Rider","4497","GryQj-MLvN7","False","ss"
"Bally","1977","Captain Fantastic and the Brown Dirt Cowboy (Home Model)","439","GRveZ-M4oyo","False","ss"
"Bally","1977","Eight Ball","760","GrN7J-MJ78q","False","ss"
"Bally","1977","Bobby Orr's Power Play","1858","G4en0-MJ5vB","False","ss"
"Bally","1977","Black Jack","309","G5nbD-MDyXb","False","ss"
"Bally","1977","Evel Knievel","4499","G59wx-MLnZ3","False","ss"
"Bally","1977","Six Million Dollar Man","2165","GrEke-ML8qN","False","ss"
"Bally","1977","Mata Hari","4501","G417e-MDvXz","False","ss"
"Bally","1978","Voltan Escapes Cosmic Doom","2744","GrkW3-MD8RW","False","ss"
"Bally","1978","Strikes and Spares","2406","GrleW-MYeod","False","ss"
"Bally","1978","Silverball Mania","2156","GRD2P-MDX5b","False","ss"
"Bally","1978","Lost World","1476","G5pEk-MDWe4","False","ss"
"Bally","1978","Harlem Globetrotters On Tour","1125","GRnwQ-M9R5d","False","ss"
"Bally","1978","Dolly Parton","698","G43Yq-MJ7o4","False","ss"
"Bally","1978","Playboy","1823","GrkOB-MJVvl","True","ss"
"Bally","1979","Future Spa","974","G5Dbo-M3dv6","False","ss"
"Bally","1979","Star Trek","2355","GRVnd-MQZzx","False","ss"
"Bally","1979","Rolling Stones","2010","G5Qz4-MQddv","False","ss"
"Bally","1979","KISS","1386","G4jXr-MQ6kz","True","ss"
"Bally","1979","Paragon","1755","GrXy3-ML0Ey","False","ss"
"Bally","1979","Mystic","1650","G5Bnl-MLnw6","False","ss"
"Bally","1979","Supersonic","2455","GRLXd-ME07p","False","ss"
"Bally","1979","Hotdoggin'","1243","GrENE-MD0dz","False","ss"
"Bally","1979","Viking","2737","G57kN-MQ71K","False","ss"
"Bally","1980","Nitro Ground Shaker","1682","GrP6q-M5Rp1","False","ss"
"Bally","1980","Space Invaders","2252","G42PX-MyNXo","False","ss"
"Bally","1980","Skateball","2170","GrNpx-M2YZq","False","ss"
"Bally","1980","Flash Gordon","874","G5728-MDbjD","False","ss"
"Bally","1980","Fireball II","854","Gry7q-MwNE2","False","ss"
"Bally","1980","Xenon","2821","G42Pk-MZe2e","False","ss"
"Bally","1980","Frontier","959","GRwjq-MJwrd","False","ss"
"Bally","1981","Centaur","476","GrX7q-MLWkn","False","ss"
"Bally","1981","Medusa","1565","G4xXQ-MDWW1","False","ss"
"Bally","1981","Vector","2723","G486B-MrRwE","False","ss"
"Bally","1981","Elektra","778","GRVld-MDE3l","False","ss"
"Bally","1981","Eight Ball Deluxe","762","G5KXk-MLB9V","False","ss"
"Bally","1981","Embryon","783","G4qk7-MNEjx","False","ss"
"Bally","1981","Fathom","829","GrPO3-M9Rpx","False","ss"
"Bally","1982","Baby Pac-Man","125","G5Kvx-MQdpl","False","ss"
"Bally","1982","BMX","335","G48NB-MD384","False","ss"
"Bally","1982","Speakeasy","2270","GRbl7-ML8EY","False","ss"
"Bally","1982","Mr. & Mrs. Pac-Man","1639","Gr2Dk-MQNy7","False","ss"
"Bally","1982","Spectrum","2274","GRw7z-MJN9l","False","ss"
"Bally","1982","Eight Ball Deluxe (LE)","763","G5KXk-MLqNz","False","ss"
"Bally","1983","Gold Ball","1024","Grjlx-MQkz3","False","ss"
"Bally","1983","Grand Slam","1079","G4PL3-MLeBP","False","ss"
"Bally","1983","X's & O's","2822","GRpWD-MNEPl","False","ss"
"Bally","1983","Centaur II","477","GrX7q-MD0yP","False","ss"
"Bally","1984","Spy Hunter","2328","GRwl7-MJ45o","False","ss"
"Bally","1984","Granny and the Gators","1083","G4OKd-Mb51r","False","ss"
"Bally","1984","Kings of Steel","1382","GR67j-M7ZYy","False","ss"
"Bally","1984","Black Pyramid","312","GRVnY-MDz0l","False","ss"
"Bally","1985","Beat the Clock","212","GRY9k-MQr4w","False","ss"
"Bally","1985","Eight Ball Champ","761","G439V-MDvWZ","False","ss"
"Bally","1985","Fireball Classic","853","G48ZN-MLONl","False","ss"
"Bally","1985","Cybernaut","614","GR69j-MW93o","False","ss"
"Bally","1986","Strange Science","2396","G5nzJ-MJVX8","False","ss"
"Bally","1986","Special Force","2272","GRDkX-M61RE","False","ss"
"Bally","1986","Lady Luck","1402","GR0nO-MdE2B","False","ss"
"Bally","1986","Motordome","1633","Gr8PN-MDqlN","False","ss"
"Bally","1986","Karate Fight","1346","G562j-MLWYq","False","ss"
"Bally","1986","Black Belt","303","G562j-MDyoK","False","ss"
"Bally","1987","Dungeons & Dragons","743","G4JBP-MJ6jr","False","ss"
"Bally","1987","Heavy Metal Meltdown","1150","GRo3e-MQ7OW","False","ss"
"Bally","1987","City Slicker","527","GrEVb-MLOxJ","False","ss"
"Bally","1987","Hardbody","1122","GRbX3-M7ZK3","False","ss"
"Bally","1987","Party Animal","1763","G42Zz-MeP7R","False","ss"
"Bally","1988","Truck Stop","2667","G5Y6O-MLn90","False","ss"
"Bally","1988","Escape from the Lost World","789","G5oEz-MQ7Zw","False","ss"
"Bally","1988","Blackwater 100","319","G5K6X-MQjwK","False","ss"
"Bally","1988","Ramp Warrior","3521","G5Y6O-MLOqO","False","ss"
"Bally","1989","Mousin' Around!","1635","G43oq-MJp02","False","ss"
